teacher now ix-3p:i movie ; the teacher in the movie theatre.
movie end future buy book j:gift:k student read ; after the movie ends, the teacher will buy a book to give to the student to read.
woman arrive punct ; some woman arrived.
sue buy ix-3p:i car blue ; sue bought/is buying the blue car.
something/one student have videotape punct ; some student has the videotape.
john buy yesterday what punct book punct ; what did john buy yesterday? a book.
who tell:i bill:i punct part:indef punct mary punct ; who told bill? mary did.
tell:i bill yesterday who punct mary punct ; who told bill yesterday? mary did.
john buy yesterday what book punct ; what did john buy yesterday? a book.
who john see what punct mary punct ; who did john see? mary.
who john see what punct mary punct ; who did john see? mary.
john see:i throw ix-3p:j apple who punct mary punct ; who did john see throw the apple? mary.
john buy yesterday what ; what did john buy yesterday?
john go should ; john should go.
john go should ; john should go.
john should go should ; john should go, he should.
like chocolate who ; who likes chocolate?
like chocolate who ; who likes chocolate?
love john who ; who loves john?
john see throw apple who mary ; who did john see throw the apple? mary.
student have videotape ; the student has the videotape.
john ix-3p:i house now read book ; john is in the house right now reading a book.
ix-3p:i kiss-fist read about car read ; he loves to read about cars.
ix-3p:i can't end read book i:gift:j back ix-3p:j teacher ix-loc:j ; if he can't finish reading the book, then he will give it back to the teacher.
finish future buy other book ; after finishing the book, (he) will buy another book.
mother-father alt:give:i many book alt:give:i read everyday ; his parents give him many books and he reads them everyday.
teacher want ix-3p:i read a-lot book ; the teacher wants him to read a lot of books.
john know ix-3p:i man ix-loc:i ; john knows that man over there.
john know ix-3p:i man ix-loc:i ; john knows the man over there.
john know ix-3p:i man ix-loc:i ; john knows the man over there.
john know ix-3p:i man ix-loc:i ; john knows the man over there.
john know ix-3p:i man ix-loc:i ; john knows the man over there.
john punct mary love ix-3p:j ; john, mary loves him.
john punct mary ix-3p:i love ix-3p:j ; you know john, he loves mary.
john punct mary ix-3p:i love punct ; you know john? he loves mary.
john punct mary ix-3p:i love punct ; it is mary whom john loves.
john punct mary ix-loc:j ix-3p:i love ix-3p:j ; it is mary whom john loves.
china vegetable people prefer broccoli ; in china, people prefer broccoli over other vegetables.
poss-3p:i new car ; his/her new car.
ix-3p:i poss-3p:j john car ; that is john's car.
ix-3p:i that john poss-3p:j father car ; that is john's father's car.
ix-3p:i poss-3p:j father car qm ; is that john's father's car?
ix-3p:i poss-3p:j john father car ; is that john's father's car?
ix-3p:i who poss-3p:j car ; who does that car belong to?
ix-3p:i who poss-3p:j car part:indef ; who's car is that?
ix-3p:i past poss-3p:j john car ; that used to be john's car.
poss-3p:i ex car ; that is his/her old car.
john arrive punct ; john is arriving there.
shoot frank ; (he/she) shoots frank.
john punct ix-3p:i say love mary ; as for john, he says (he/john) loves mary.
john punct ix-3p:i say love mary ; as for john, he says (he/john) loves mary.
john i:blame:j punct ; john blames (him/her).
mary punct bill say john love:j punct ; as for mary, bill says john loves her.
john punct mary i:blame:j punct ; it is john mary blames.
